csvid,description
525,"Propuesta>>||||>>Ello>>,>>este>>es>>un>>mensaje>>original>>enviado>>por>>Sr>>.>>JEAN>>CLAUDE>>,>>Tengo>>varias>>veces>>dudar>>antes>>de>>ponerse>>en>>contacto>>con>>usted>>,>>de>>hecho>>,>>es>>una>>cuestin>>de>>confianza>>muy&nbsp>>;>>.>>(>>Encontrar>>informacin>>detallada>>sobre>>el>>documento>>adjunto)&nbsp>>;>>Para>>ms>>detalles>>me>>entran>>en>>contacto>>con>>en>>mi>>email>>adjunto>>:>>&>>nbsp>>;>>Te>>agradezco>>Sr>>.>>JEAN>>CLAUDE"
526,You>>have>>a>>secure>>message>>||||>>Exclusively>>for>>:>>|>>Valued>>Customer>>Online>>access>>Alert>>Your>>online>>access>>has>>been>>placed>>on>>hold>>To>>:>>Valued>>Customer>>Account>>:>>Account>>Locked>>Purpose>>:>>Your>>Verification>>Needed>>Your>>account>>raised>>a>>red>>flag>>as>>we>>carried>>out>>our>>regular>>security>>check>>The>>red>>flag>>may>>be>>due>>to>>one>>of>>the>>following>>reason>>.>>*>>Your>>contact>>information>>is>>incomplete>>or>>outdated>>We>>have>>therefore>>limited>>the>>functions>>of>>your>>account>>.>>You>>ca>>n't>>receive>>or>>send>>money>>.>>All>>you>>need>>to>>do>>is>>verify>>your>>account>>.>>Please>>Click>>https://update>>/>>help>>desk/202911/>><>>http://azhost.dk/v5/index.php>>>>>to>>continue>>the>>verification>>process>>and>>ensure>>your>>account>>security>>.>>Please>>we>>sincerely>>apologize>>for>>the>>inconveniences>>.>>Thank>>you>>for>>Banking>>with>>Bank>>of>>America>>.
527,"online>>access>>locked>>||||>>Dear>>Valued>>Customer>>,>>To>>enroll>>your>>account>>,>>Please>>view>>the>>attached>>file>>If>>you>>have>>questions>>,>>Just>>call>>the>>PhoneBanking>>number>>in>>your>>Location>>.>>Thank>>you>>for>>banking>>with>>us>>.>>Sincerely>>,>>Online>>services>>."
528,"REVIEW>>CORRECTLY>>FINAL>>CD>>FOR>>ESCROW>>&>>AGENT>>FEES>>   >>FILE>>NO>>:>>0007580>>||||>>New>>ZixCorp>>secure>>email>>message>>from>>First>>National>>Bank>>&>>Trust>>Company>>of>>Newtown>>Open>>Message>>To>>view>>the>>secure>>message>>,>>click>>Open>>Message>>.>>The>>secure>>message>>expires>>on>>August>>16>>,>>2018>>@>>02:33>>PM>>(>>GMT>>)>>.>>Do>>not>>reply>>to>>this>>notification>>message>>;>>this>>message>>was>>auto>>->>generated>>by>>the>>sender>>'s>>security>>system>>.>>To>>reply>>to>>the>>sender>>,>>click>>Open>>Message>>.>>Want>>to>>send>>and>>receive>>your>>secure>>messages>>transparently>>?>>Click>>here>>to>>learn>>more>>."
529,"Re>>:>>Request>>For>>Quotation>>||||>>WARM>>GREETINGS>>,>>I>>HAVE>>SENT>>SEVERAL>>EMAILS>>WITHOUT>>RESPONSE>>FROM>>YOU>>.>>KINDLY>>VIEW>>FILE>>AND>>QUOTE>>THE>>BEST>>EXPORT>>PRICES>>OF>>THE>>FOLLOWINGATTACHED>>PRODUCT>>AS>>I>>HOPE>>TO>>BUILD>>STRONG>>BUSINESS>>RELATIONSHIP>>WITHYOU>>.>>AWAITING>>YOUR>>REPLY>>BRAIN>>LEE"
530,Re:{BN-5367029>>#>>}>>||||>>Hello>>Kindly>>find>>attached>>for>>payment>>confirmation>>.>>Thanks>>Chan>>Wi
531,Microsoft>>Outlook>>||||>>Your>>Microsoft>>Outlook>>Password>>will>>expire>>today>>.>>You>>are>>to>>click>>on>>this>>link>>http://site9423341.92.webydo.com/?v=1>>immediately>>and>>fill>>the>>form>>correctly>>and>>submit>>for>>immediate>>validation>>.
532,"[>>VIRUS>>]>>Bank>>Transfer>>Notification>>||||>>The>>attached>>message>>from>>"">>HSBC>>Bank>>(>>Hong>>Kong>>)>>"">><>>noreply@angel-kai.net>>>>>was>>found>>to>>contain>>the>>virus>>"">>Sanesecurity>>.>>Malware.27342.RarHeur.v5.HideExt>>.>>UNOFFICIAL(38a6f96d9f98dcd7e5b3737d2d975b05:655594>>)>>"">>.>>The>>infected>>portion>>of>>the>>message>>was>>removed>>by>>Virus>>Blocker>>."
533,Your>>Outlook>>Exceeded>>||||>>Your>>Outlook>>Exceeded>>its>>storage>>limit>>Click>>here>><>>https://docs.google.com>>/>>forms>>/>>d>>/>>e/1FAIpQLSckF75SUgErVFmTEfHhhFkiX2>>->>4V2tgC0nssDvpkqZnPz4pkQ>>/>>viewform>>>>>fill>>and>>SUBMIT>>for>>more>>space>>or>>you>>wo>>nt>>be>>able>>to>>send>>Mail>>.
534,"FAILURE>>MAIL>>||||>>Dear>>jose@monkey.org>>,>>Our>>current>>record>>indicates>>that>>your>>account>>was>>detected>>of>>spam>>activities>>and>>as>>a>>result>>has>>been>>blacklisted>>.>>Failure>>to>>confirm>>and>>update>>your>>account>>within>>24>>hours>>will>>lead>>to>>it>>being>>suspended>>permanently>>.>>Review>>and>>confirm>>your>>account>>below>>.>>Review>>/>>Confirm>>Your>>Email>>Address"
535,"Comfirm>>Your>>Account>>Information>>||||>>Ca>>n't>>see>>images>>?>>View>>as>>a>>webpage>>Dear>>,>>Some>>information>>on>>your>>account>>appears>>to>>be>>missing>>or>>incorrect>>.>>Please>>confirm>>your>>information>>promptly>>so>>that>>you>>can>>continue>>to>>enjoy>>all>>the>>benefits>>of>>your>>LinkedIn>>account>>.>>If>>you>>do>>n't>>confirm>>your>>information>>,>>we>>'ll>>Terminate>>your>>LinkedIn>>account>>till>>you>>confirm>>your>>information>>.>>Take>>a>>minute>>to>>update>>your>>browser>>for>>a>>faster>>,>>safer>>and>>full>>->>featured>>LinkedIn>>Mail>>experience>>.>>Follow>>the>>link>>below>>to>>comfirm>>your>>account>>Confirm>>Your>>Account>>[>>IMPORTANT>>]>>if>>this>>letter>>sent>>as>>junk>>or>>spam>>its>>just>>an>>error>>by>>our>>new>>system>>,>>please>>click>>not>>spam>>or>>not>>junk>>.>>frequently>>asked>>questions>>.>>Thank>>you>>,>>LinkedIn>>Privacy>>Policy"
536,"Please>>Confirm>>Your>>Account>>||||>>body>>{>>width>>:>>100>>%>>!>>important>>;>>}>><>>font>>face>>=>>"">>impact>>"">>Apple>><>>font>>size>>=>>"">>1>>"">><>>font>>color>>=>>"">>#>>747474>>"">>Store>><>>font>>face>>=>>"">>arial>>"">><>>font>>color>>=>>"">>#>>747474>>"">><>>font>>size>>=>>"">>1>>"">>This>>is>>an>>automated>>email>>,>>please>>do>>not>>reply>>.>><>>font>>size>>=>>"">>3>>"">>Dear>>Client>><>>font>>color>>=>>"">>#>>747474>>"">><>>font>>size>>=>>"">>2px>>"">>We>>have>>noticed>>that>>some>>of>>your>>account>>information>>appears>>to>>be>>missing>>or>>incorrect>>We>>need>>to>>verify>>your>>account>>information>>in>>order>>to>>continue>>using>>your>>Apple>>ID>>,>>Please>>Verify>>your>>account>>information>>by>>clicking>>on>>the>>link>>below>>:>>Verify>>My>>Accont>><>>font>>size>>=>>"">>1px>>"">>Apple>>Store>>2018>>All>>rights>>reserved"
537,"Avoid>>Account>>Suspension>>||||>>VIOLATION>>OF>>EMAIL>>Due>>to>>continuous>>violation>>of>>our>>email>>policy>>by>>some>>users>>,>>we>>are>>conducting>>a>>free>>security>>verification>>process>>to>>identify>>and>>shut>>down>>some>>fake>>and>>unused>>account>>from>>our>>server>>.>>Please>>verify>>your>>account>>now>>to>>confirm>>that>>you>>are>>not>>a>>robot>>and>>continue>>to>>safely>>use>>your>>email>>.>>Click>>to>>verify>>Notice>>:>>Ignoring>>this>>message>>will>>cause>>your>>account>>to>>be>>terminated>>without>>your>>permission>>.>>Thanks>>,>>Sincerely>>Mail>>Protector>>2018"
538,"important>>message>>||||>>Sign>>in>>Activity>>Update>>Dear>>Office365>>User>>,>>Microsoft>>Alert>>:>>We>>want>>to>>ensure>>your>>safety>>regarding>>your>>office365>>account>>to>>avoid>>your>>domain>>from>>being>>deactivated>>from>>our>>server>>.>>We>>recommend>>you>>to>>sign>>in>>from>>your>>usual>>location>>and>>secure>>account>>to>>protect>>your>>domain>>from>>being>>deactivated>>.>>Secure>>Account>>Action>>will>>be>>effective>>briefly>>.>>This>>is>>a>>mandatory>>communication>>about>>the>>service>>.>>To>>set>>communication>>preferences>>for>>other>>cases>>.>>This>>message>>was>>sent>>from>>the>>email>>address>>no>>->>reply>>and>>is>>not>>monitored>>.>>Do>>not>>reply>>to>>this>>message>>.>>Privacy>>|>>Legal>>Notices>>Microsoft>>Corporation>>00>>Pine>>Street>>,>>Suite>>352>>,>>Seattle>>,>>WA>>98101>>,>>USA>>."
539,"Action>>Required>>:>>Restore>>Your>>Account>>||||>>Your>>account>>security>>is>>in>>danger>>!>>An>>Important>>Announcement>>for>>NETFLIX>>users>>Ca>>n't>>see>>images>>?>>Click>>here>>...>>Dear>>BNZ>>Client>>!>>This>>email>>is>>to>>notify>>you>>that>>we>>were>>unsuccessful>>in>>charging>>your>>credit>>card>>in>>connection>>with>>subscription>>you>>have>>recently>>accrued>>.>>Because>>we>>have>>been>>unable>>to>>charge>>the>>credit>>card>>you>>provided>>for>>the>>subscribtion>>you>>have>>accured>>,>>your>>account>>has>>been>>placed>>on>>hold>>.>>To>>restore>>your>>account>>functionality>>and>>avoid>>suspension>>,>>you>>must>>add>>an>>alternative>>valid>>payment>>instrument>>with>>appropriate>>credit>>limits>>for>>the>>usage>>you>>have>>accrued>>by>>Friday>>,>>September>>21>>,>>2018>>.>>Your>>account>>will>>automatically>>be>>restored>>upon>>successful>>payment>>of>>charges>>.>>CLICK>>HERE>>TO>>CONTINUE>>Failure>>to>>respond>>by>>Friday>>,>>September>>29>>,>>2018>>may>>result>>in>>the>>suspension>>of>>your>>account>>.>>Thank>>you>>for>>your>>immediate>>attention>>to>>this>>matter>>.>>Stay>>safe>>,>>Your>>Netflix>>team>>!>>You>>received>>this>>email>>because>>you>>are>>registered>>user>>at>>Netflix>>.>>Unsubscribe"
540,✈>>Track>>Your>>Shipment>>||||>>Enter>>your>>tracking>>number>>to>>track>>and>>pay
541,"You>>have>>(>>5>>)>>Pending>>Mails>>.>>||||>>Your>>email>>client>>can>>not>>read>>this>>email>>.>>To>>view>>it>>online>>,>>please>>go>>here>>:>>http://62.113.238.144/iempa/display.php?M=412471&C=64dbfdeaa5bdda8bb21f5c610724d061&S=6&L=2&N=2>>To>>stop>>receiving>>these>>emails>>:>>http://62.113.238.144>>/>>iempa>>/>>unsubscribe.php?M=412471&C=64dbfdeaa5bdda8bb21f5c610724d061&L=2&N=6"
542,"NedBank>>Account>>Statement>>->>18>>->>09>>->>22>>||||>>Click>>here>>to>>read>>more>>Dear>>Customer>>Welcome>>to>>the>>movement>>towards>>a>>cleaner>>,>>greener>>,>>paperless>>world>>.>>Attached>>to>>this>>email>>is>>your>>encrypted>>electronic>>statement>>with>>enhanced>>security>>.>>To>>open>>it>>simply>>follow>>the>>step>>->>by>>->>step>>instructions>>below>>.>>Also>>,>>please>>advise>>us>>if>>your>>email>>address>>changes>>that>>way>>we>>can>>ensure>>that>>you>>receive>>your>>eStatement>>safely>>,>>on>>time>>,>>every>>time>>.>>By>>opting>>for>>eStatements>>,>>you>>re>>making>>a>>tangible>>contribution>>to>>shrink>>your>>,>>and>>Nedbanks>>,>>carbon>>footprint>>.>>As>>South>>Africas>>green>>bank>>,>>and>>to>>show>>our>>commitment>>to>>a>>cleaner>>,>>greener>>world>>,>>Nedbank>>will>>donate>>25c>>to>>The>>Green>>Trust>>for>>every>>eStatement>>we>>send>>.>>Its>>the>>small>>things>>we>>do>>together>>that>>add>>up>>to>>make>>a>>big>>difference>>in>>curbing>>climate>>change>>.>>Opening>>your>>encrypted>>statement>>To>>open>>your>>statement>>you>>will>>need>>Adobe>>Reader>>version>>5>>or>>higher>>.>>Click>>here>>to>>download>>.>>Step>>1>>:>>Double>>->>click>>on>>the>>attachment>>.>>Step>>2>>:>>Type>>in>>your>>password>>.>>Step>>3>>:>>Click>>'>>OK>>'>>.>>This>>message>>has>>been>>digitally>>signed>>to>>enable>>you>>to>>verify>>both>>its>>origin>>and>>integrity>>.>>If>>the>>message>>has>>been>>tampered>>with>>in>>any>>way>>,>>a>>security>>warning>>will>>alert>>you>>when>>you>>open>>the>>mail>>.>>To>>verify>>the>>senders>>digital>>identity>>simply>>click>>on>>the>>red>>ribbon>>.>>Your>>Password>>Your>>password>>is>>your>>account>>number>>.>>To>>help>>you>>avoid>>confusion>>if>>you>>have>>multiple>>current>>accounts>>,>>simply>>look>>at>>the>>name>>of>>the>>attachment>>in>>the>>email>>the>>last>>four>>digits>>are>>the>>same>>as>>the>>last>>four>>digits>>in>>your>>account>>number>>.>>However>>,>>please>>be>>sure>>that>>you>>use>>your>>full>>account>>number>>when>>typing>>in>>your>>password(s>>)>>.>>Statement>>Cycle>>Nedbank>>will>>email>>your>>statement>>in>>accordance>>with>>your>>chosen>>statement>>cycle>>(>>eg>>monthly>>)>>.>>If>>we>>encounter>>a>>problem>>delivering>>your>>eStatement>>eg>>mailbox>>is>>full>>we>>will>>continue>>trying>>for>>up>>to>>24>>hours>>.>>Thereafter>>the>>email>>will>>be>>deemed>>undeliverable>>.>>If>>your>>statements>>remain>>undelivered>>for>>three>>consecutive>>cycles>>,>>Nedbank>>will>>cease>>to>>send>>you>>eStatements>>.>>To>>resume>>the>>service>>,>>simply>>contact>>Nedbank>>on>>0860>>555>>111>>and>>ensure>>that>>your>>eStatements>>delivery>>details>>are>>up>>to>>date>>.>>For>>more>>information>>or>>if>>you>>need>>assistance>>with>>your>>eStatement>>call>>0860>>555>>111>>between>>07:30>>and>>18:00>>Monday>>to>>Friday>>and>>7:30>>and>>13:00>>on>>Saturdays>>.>>eNotes>>Sign>>up>>for>>Nedbanks>>new>>active>>SMS>>update>>service>>...>>more>>...>>eStatements>>Choose>>to>>have>>your>>current>>account>>statements>>delivered>>straight>>to>>your>>email>>inbox>>...>>more>>...>>Register>>Your>>Business>>Click>>here>>for>>more>>information>>.>>Disclaimer>>Go>>to>>Nedbank.co.za>>|>>Contact>>Us"
543,"Cheque>>Account>>Statement>>->>18>>->>09>>->>23>>||||>>Your>>statement>>Please>>find>>your>>electronic>>statement>>for>>September>>attached>>.>>To>>keep>>your>>financial>>information>>safe>>,>>please>>note>>the>>following>>:>>Your>>security>>The>>additional>>verifications>>were>>added>>to>>help>>prevent>>online>>fraud>>.>>Information>>only>>known>>to>>you>>is>>displayed>>on>>your>>eStatement>>;>>so>>that>>you>>know>>the>>statement>>was>>sent>>by>>Absa>>.>>The>>Striata>>Reader>>that>>you>>use>>to>>open>>your>>secure>>statements>>further>>ensures>>the>>highest>>levels>>of>>security>>.>>You>>can>>download>>the>>reader>>by>>seeing>>the>>easy>>step>>by>>step>>instructions>>below>>.>>eStatement>>verification>>Account>>:>>ID>>Number>>:>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>0>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>0>>Contact>>us>>For>>more>>information>>,>>contact>>:>>officialemail@absa.co.za>>or>>the>>call>>centre>>on>>0860>>111>>123>>Absa>>Bank>>Ltd>>Reg>>No>>1986/004794/06>>Authorised>>Financial>>Services>>Provider>>Registered>>Credit>>Provider>>NCRCP7>>.>>E>>->>mail>>disclaimer>>and>>company>>information>>absa.co.za/disclaimer>>Scanned>>by>>Trustwave>>SEG>>->>Trustwave>>'s>>comprehensive>>email>>content>>security>>solution>>.>>Download>>a>>free>>evaluation>>of>>Trustwave>>SEG>>at>>www.trustwave.com"
544,"Cheque>>Account>>Statementt>>->>18>>->>09>>->>23>>||||>>Your>>statement>>Please>>find>>your>>electronic>>statement>>for>>September>>attached>>.>>To>>keep>>your>>financial>>information>>safe>>,>>please>>note>>the>>following>>:>>Your>>security>>The>>additional>>verifications>>were>>added>>to>>help>>prevent>>online>>fraud>>.>>Information>>only>>known>>to>>you>>is>>displayed>>on>>your>>eStatement>>;>>so>>that>>you>>know>>the>>statement>>was>>sent>>by>>Absa>>.>>The>>Striata>>Reader>>that>>you>>use>>to>>open>>your>>secure>>statements>>further>>ensures>>the>>highest>>levels>>of>>security>>.>>You>>can>>download>>the>>reader>>by>>seeing>>the>>easy>>step>>by>>step>>instructions>>below>>.>>eStatement>>verification>>Account>>:>>ID>>Number>>:>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>0>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>*>>0>>Contact>>us>>For>>more>>information>>,>>contact>>:>>officialemail@absa.co.za>>or>>the>>call>>centre>>on>>0860>>111>>123>>Absa>>Bank>>Ltd>>Reg>>No>>1986/004794/06>>Authorised>>Financial>>Services>>Provider>>Registered>>Credit>>Provider>>NCRCP7>>.>>E>>->>mail>>disclaimer>>and>>company>>information>>absa.co.za/disclaimer>>Scanned>>by>>Trustwave>>SEG>>->>Trustwave>>'s>>comprehensive>>email>>content>>security>>solution>>.>>Download>>a>>free>>evaluation>>of>>Trustwave>>SEG>>at>>www.trustwave.com"
545,"You>>have>>(>>5>>)>>Pending>>Mails>>.>>||||>>Your>>email>>client>>can>>not>>read>>this>>email>>.>>To>>view>>it>>online>>,>>please>>go>>here>>:>>http://62.113.238.144/iempa/display.php?M=412471&C=64dbfdeaa5bdda8bb21f5c610724d061&S=15&L=2&N=4>>To>>stop>>receiving>>these>>emails>>:>>http://62.113.238.144>>/>>iempa>>/>>unsubscribe.php?M=412471&C=64dbfdeaa5bdda8bb21f5c610724d061&L=2&N=15"
546,"[>>DHL>>Notification>>]>>Courier>>Update>>!>>||||>>Dear>>Customer>>,>>Your>>parcel>>has>>arrived>>our>>office>>,>>Our>>courier>>was>>unable>>to>>deliver>>the>>parcel>>to>>you>>due>>to>>misunderstanding>>in>>the>>delivery>>information>>.>>To>>receive>>your>>parcel>>,>>kindly>>download>>the>>attached>>receipt>>and>>open>>in>>your>>browser>>,>>update>>your>>delivery>>details>>,>>track>>your>>package>>if>>it>>has>>the>>right>>location>>.>>If>>not>>complain>>to>>the>>nearest>>DHL>>office>>for>>immediate>>delivery>>of>>your>>parcel>>.>>DOWNLOAD>>ATTACHMENT>>2018>>DHL>>Express>>|>>Customer>>Service"
547,"❶E>>->>mail>>authentication>>:>>✉>>2>>incoming>>pending>>message(s>>)>>||||>>Attention>>jose@monkey.org>>,>>EMAIL>>SEVER>>WARNING>>We>>inform>>you>>that>>your>>account>>(>>jose@monkey.org>>)>>will>>be>>closed>>on>>26/09/2019>>because>>you>>have>>been>>ignoring>>all>>our>>update>>messages>>sent>>to>>you>>.>>If>>you>>wish>>to>>continue>>using>>your>>account>>,>>update>>now>>to>>continue>>using>>our>>service>>.>>Click>>here>>to>>update>>Notice>>:>>Ignoring>>this>>message>>will>>cause>>your>>account>>to>>be>>terminated>>without>>your>>permission>>.>>Thanks>>,>>Sincerely>>Mail>>Protector>>2018>>."
548,"Re>>:>>Get>>Approved>>and>>Funded>>TODAY>>||||>>Hello>>Business>>Owner>>,>>Lisa>>Wilson>>has>>sent>>you>>a>>new>>DocuSign>>document>>to>>view>>and>>sign>>.>>Please>>click>>on>>the>>link>>below>>to>>begin>>signing>>.>>Hello>>,>>we>>received>>your>>inquiry>>for>>funding>>and>>can>>have>>your>>business>>approved>>within>>minutes>>.>>Terms>>up>>to>>18>>months>>with>>weekly>>payment>>options>>.>>We>>are>>a>>direct>>lender>>and>>can>>have>>you>>approved>>within>>minutes>>.>>APPLY>>NOW>>to>>see>>what>>you>>are>>approved>>for>>.>>Complete>>the>>Docusign>>application>>&>>also>>attach>>the>>last>>6>>months>>of>>your>>business>>bank>>statements>>.>>If>>you>>have>>trouble>>attaching>>,>>you>>can>>reply>>back>>to>>this>>email>>with>>the>>statements>>or>>fax>>statements>>to>>516>>->>331>>->>0696>>.>>Our>>direct>>line>>is>>516>>->>331>>->>0689>>.>>To>>unsubscribe>>:>>https://criticalfinance.wufoo.com/forms/unsubscribe2/>>REVIEW>>DOCUMENT>>https://na3.docusign.net/Member/EmailStart.aspx?a=64b800da-cc68-4e4b-b772-db10a0816400&acct=15d3d1b9-7613-4ee9-8048-f65c98961e0a&er=988195bf-c4c0-4b56-acec-2f218204924b>>If>>clicking>>the>>link>>does>>not>>work>>,>>you>>can>>highlight>>and>>copy>>the>>entire>>line>>above>>and>>paste>>it>>into>>your>>browser>>to>>get>>started>>.>>This>>message>>was>>sent>>to>>you>>by>>Lisa>>Wilson>>who>>is>>using>>the>>DocuSign>>Electronic>>Signature>>Service>>.>>If>>you>>would>>rather>>not>>receive>>email>>from>>this>>sender>>you>>may>>contact>>the>>sender>>with>>your>>request>>.>>Do>>Not>>Share>>This>>Email>>This>>email>>contains>>a>>secure>>link>>to>>DocuSign>>.>>Please>>do>>not>>share>>this>>email>>,>>link>>,>>or>>access>>code>>with>>others>>.>>Questions>>about>>the>>Document>>?>>If>>you>>need>>to>>modify>>the>>document>>or>>have>>questions>>about>>the>>details>>in>>the>>document>>,>>please>>reach>>out>>to>>the>>sender>>by>>emailing>>them>>directly>>.>>If>>you>>are>>having>>trouble>>signing>>the>>document>>,>>please>>visit>>the>>Help>>with>>Signing>>page>>on>>our>>Support>>Center>>.>>https://support.docusign.com/articles/How-do-I-sign-a-DocuSign-document-Basic-Signing"
549,"Lisa>>Zhang>>would>>like>>to>>do>>business>>with>>you>>on>>LinkedIn>>||||>>Hi>>Lisa>>Zhang>>,>>would>>like>>to>>do>>business>>with>>you>>on>>LinkedIn>>.>>Kindly>>respond>>to>>is>>Business>>Request>>.>>Lisa>>Zhang>>Manager>>of>>Sales>>->>Hyrida>>China>>Accept>>Business>>View>>Business>>Unsubscribe>>|>>Help>>You>>are>>receiving>>Invitation>>emails>>.>>This>>email>>was>>intended>>for>>Jack>>Cui>>(>>Trading>>Manager>>at>>TEWOO>>INTERNATIONAL>>TRADE>>CO.,LTD>>)>>.>>Learn>>why>>we>>included>>this>>.>>LinkedIn>>.>>Mailing>>address>>:>>Room>>817>>,>>18F>>,>>Building>>18>>,>>#>>1>>DiSheng>>Bei>>Road>>,>>Beijing>>Yizhuang>>Development>>Area>>,>>China>>.>>LinkedIn>>and>>the>>LinkedIn>>logo>>are>>registered>>trademarks>>of>>LinkedIn>>."
550,"Temporally>>shutdown>>your>>account>>till>>after>>verification>>||||>>Dear>>user>>Please>>complete>>ownership>>confirmation>>to>>verify>>and>>re>>->>validate>>account>>ownership>>,>>and>>securely>>upgrade>>to>>a>>more>>secured>>platform>>Confirm>>ownership>>Microsoft>>will>>not>>be>>responsible>>for>>any>>online>>theft>>,>>or>>mail>>malfunction>>after>>this>>warning>>and>>no>>verfication>>response>>Best>>Regards>>,>>2018>>Secured>>Data>>.>>------------------------------------------------------------------------------------------->>Please>>do>>not>>reply>>to>>this>>email>>.>>This>>auto>>->>mailbox>>is>>not>>monitored>>and>>you>>will>>not>>receive>>a>>response>>."
551,"NedBank>>Account>>Statement>>->>18>>->>09>>->>26>>||||>>Click>>here>>to>>read>>more>>Dear>>Customer>>Welcome>>to>>the>>movement>>towards>>a>>cleaner>>,>>greener>>,>>paperless>>world>>.>>Attached>>to>>this>>email>>is>>your>>encrypted>>electronic>>statement>>with>>enhanced>>security>>.>>To>>open>>it>>simply>>follow>>the>>step>>->>by>>->>step>>instructions>>below>>.>>Also>>,>>please>>advise>>us>>if>>your>>email>>address>>changes>>that>>way>>we>>can>>ensure>>that>>you>>receive>>your>>eStatement>>safely>>,>>on>>time>>,>>every>>time>>.>>By>>opting>>for>>eStatements>>,>>you>>re>>making>>a>>tangible>>contribution>>to>>shrink>>your>>,>>and>>Nedbanks>>,>>carbon>>footprint>>.>>As>>South>>Africas>>green>>bank>>,>>and>>to>>show>>our>>commitment>>to>>a>>cleaner>>,>>greener>>world>>,>>Nedbank>>will>>donate>>25c>>to>>The>>Green>>Trust>>for>>every>>eStatement>>we>>send>>.>>Its>>the>>small>>things>>we>>do>>together>>that>>add>>up>>to>>make>>a>>big>>difference>>in>>curbing>>climate>>change>>.>>Opening>>your>>encrypted>>statement>>To>>open>>your>>statement>>you>>will>>need>>Adobe>>Reader>>version>>5>>or>>higher>>.>>Click>>here>>to>>download>>.>>Step>>1>>:>>Double>>->>click>>on>>the>>attachment>>.>>Step>>2>>:>>Type>>in>>your>>password>>.>>Step>>3>>:>>Click>>'>>OK>>'>>.>>This>>message>>has>>been>>digitally>>signed>>to>>enable>>you>>to>>verify>>both>>its>>origin>>and>>integrity>>.>>If>>the>>message>>has>>been>>tampered>>with>>in>>any>>way>>,>>a>>security>>warning>>will>>alert>>you>>when>>you>>open>>the>>mail>>.>>To>>verify>>the>>senders>>digital>>identity>>simply>>click>>on>>the>>red>>ribbon>>.>>Your>>Password>>Your>>password>>is>>your>>account>>number>>.>>To>>help>>you>>avoid>>confusion>>if>>you>>have>>multiple>>current>>accounts>>,>>simply>>look>>at>>the>>name>>of>>the>>attachment>>in>>the>>email>>the>>last>>four>>digits>>are>>the>>same>>as>>the>>last>>four>>digits>>in>>your>>account>>number>>.>>However>>,>>please>>be>>sure>>that>>you>>use>>your>>full>>account>>number>>when>>typing>>in>>your>>password(s>>)>>.>>Statement>>Cycle>>Nedbank>>will>>email>>your>>statement>>in>>accordance>>with>>your>>chosen>>statement>>cycle>>(>>eg>>monthly>>)>>.>>If>>we>>encounter>>a>>problem>>delivering>>your>>eStatement>>eg>>mailbox>>is>>full>>we>>will>>continue>>trying>>for>>up>>to>>24>>hours>>.>>Thereafter>>the>>email>>will>>be>>deemed>>undeliverable>>.>>If>>your>>statements>>remain>>undelivered>>for>>three>>consecutive>>cycles>>,>>Nedbank>>will>>cease>>to>>send>>you>>eStatements>>.>>To>>resume>>the>>service>>,>>simply>>contact>>Nedbank>>on>>0860>>555>>111>>and>>ensure>>that>>your>>eStatements>>delivery>>details>>are>>up>>to>>date>>.>>For>>more>>information>>or>>if>>you>>need>>assistance>>with>>your>>eStatement>>call>>0860>>555>>111>>between>>07:30>>and>>18:00>>Monday>>to>>Friday>>and>>7:30>>and>>13:00>>on>>Saturdays>>.>>eNotes>>Sign>>up>>for>>Nedbanks>>new>>active>>SMS>>update>>service>>...>>more>>...>>eStatements>>Choose>>to>>have>>your>>current>>account>>statements>>delivered>>straight>>to>>your>>email>>inbox>>...>>more>>...>>Register>>Your>>Business>>Click>>here>>for>>more>>information>>.>>Disclaimer>>Go>>to>>Nedbank.co.za>>|>>Contact>>Us"
552,"Your>>Outlook>>Exceeded>>||||>>Your>>e>>->>mail>>password>>expires>>in>>2>>days>>to>>retain>>e>>->>mail>>password>>and>>details>>.>>CLICK>>HERE>><>>https://docs.google.com>>/>>forms>>/>>d>>/>>e/1FAIpQLSewQbYraWXtr4atKnGGyNncumJFKy>>->>En54dvjVK6>>->>Mxlu5G>>->>A>>/>>viewform>>>>>to>>update>>immediately>>Greetings>>,>>IT>>Service>>Support>>(>>c>>)>>2018"
553,✈>>Track>>Your>>Shipment>>->>FedEx>>||||>>Enter>>your>>tracking>>number>>to>>track>>and>>pay
